ПКО1;ОКО-В;ОКО1;1-;2-;3-;4-;5-;6+;7+;8+;9+;10+;11+;12+;13+;14+;15+;16+;17+;18+;19+;20ПКО;21ПКО;22+-ВПК;23+-ВПК;24+-ВПК;25+-ВПК;26--ВПК;27--ВПК;28--ВПК;29--ВПК;
1792;1105,75;1250,75;1106,25;960;1423,25;1648;1771,25;1138,75;1002,5;1290,75;1376;1242,5;1244;1512;1201;1303;1419,75;1340,5;958;955;1176,75;1322,25;1491,75;1478,25;990,5;1163,75;1022;1178,25;1231;1661,75;1805;
1792,75;1089,5;1250,75;1083,75;940;1403,75;1629,75;1770;1137,75;999,5;1291;1362,75;1248,75;1241,25;1498,25;1200,75;1293,25;1414,75;1321;956,5;960;1181,75;1322;1476,75;1439,75;982,75;1149,5;1016,5;1180,75;1225,25;1668,5;1806,75;
1799;1078,5;1249,25;1106;944;1403;1620,75;1767,75;1136,5;1000,5;1300,5;1381,25;1238,25;1248;1505,75;1211,5;1278,25;1413;1315,75;958;958,25;1177,25;1326;1470,75;1436,75;995,5;1139;1026,5;1191,75;1214,75;1669,75;1797,75;
1800,25;1080;1246,25;1099,5;934;1407;1622;1760,5;1151,75;998,75;1296;1381,5;1239,5;1236,5;1490,75;1192;1282;1399,5;1324;957;961,25;1181,5;1326,25;1482;1430,5;993;1146;1022,25;1196,75;1227;1676;1807,75;
1782,75;1081,5;1251,75;1098,25;945,5;1399,75;1612,75;1744;1132,25;1000,5;1302,5;1371,5;1245,75;1233;1499,25;1194,75;1281,75;1405,25;1323;949;956,75;1179,5;1319,25;1462,75;1419,75;983,25;1152,75;1029,25;1213,25;1241,25;1686,75;1813,5;
1792;1072,75;1246,75;1100,5;931,25;1399,75;1625,5;1752,25;1145,75;995;1291,75;1363,5;1240,25;1230,5;1491,75;1187,5;1273,25;1406,25;1322,5;957,25;960,5;1169;1329,75;1477;1417,5;991,25;1154,75;1024,75;1214,75;1246,75;1691,25;1792,5;
1786,25;1082,75;1243,25;1098;936;1402;1627,75;1751;1130,5;991,25;1299,75;1383,5;1235,5;1229,75;1503,5;1188;1265,75;1398,5;1320,75;954;959;1174,75;1323,75;1478;1411,25;996,25;1159,5;1032,75;1226,5;1249,5;1692,5;1808,25;
1791,75;1081,5;1251,25;1094,75;943;1397,25;1618,25;1748,75;1143;1000,5;1304,5;1384,5;1225,75;1228,75;1487,5;1193,25;1252,75;1393,75;1316;960,25;955,5;1166,75;1325;1464,75;1421,25;990,5;1157,25;1032,75;1228,75;1262;1674,5;1810,5;
1798,25;1081;1246;1100,5;936,75;1404;1606;1752,75;1142,75;999,5;1301,5;1374;1228,25;1239,25;1505,25;1185,5;1264,5;1398,25;1314,75;963,75;953,5;1163,5;1322,5;1476,25;1410,75;984,75;1153,5;1045,25;1233,75;1266,75;1683,75;1794,5;
1785,5;1075,25;1248,5;1098,5;937,75;1399,25;1611,5;1742,5;1130;997,25;1307;1370;1238,25;1233;1496,75;1185,5;1263,5;1391,5;1318,5;949,25;965,75;1172,25;1324;1456,25;1414,25;984,25;1157;1037;1238,5;1271;1679;1811,25;
1783,5;1069;1248,25;1098,75;937,5;1404,25;1611,75;1746,5;1123,75;995;1295,25;1368,75;1235,5;1225,25;1501;1191,25;1245,25;1386,75;1302;947,5;953,75;1166,5;1330,75;1458,5;1409,5;990,25;1167,5;1041,5;1247;1274,75;1686,75;1805,75;
1780,75;1076,75;1231;1097,25;938,5;1391,25;1613,75;1754,5;1128,5;988;1291;1356,25;1233,5;1227;1507;1194,25;1248;1380;1315,75;948;952,5;1169,75;1335;1459,75;1415;983,25;1162,25;1038;1236,25;1271,5;1696,5;1806,5;
1794;1071,5;1243,25;1092;938,25;1387,75;1602,75;1739;1126,25;994,25;1291,75;1356;1235,5;1224;1487,5;1188;1241,75;1388,25;1313,75;961,5;958,75;1161,75;1327,25;1458,5;1408,5;995,25;1164,5;1033;1249,5;1274,5;1680,75;1799;
1789,25;1065;1241,75;1098,75;934,75;1388,5;1625,25;1744;1142;987,25;1287;1355,75;1218,75;1225,75;1498,75;1175,5;1239,5;1381,25;1309,5;961,5;961,25;1175,5;1324,5;1455;1410;992,5;1159;1049,25;1253,75;1284,25;1683;1789,25;
1789,75;1075,75;1231,75;1095,25;930,25;1392,5;1597,25;1740,25;1129,75;996,5;1283,25;1361,25;1225,5;1231,5;1492,75;1188,5;1240;1380,25;1312;967,75;948,25;1166,75;1327;1447,5;1404;995,25;1161,25;1047;1263,75;1284,5;1680,5;1802,5;
1784;1083,25;1232,25;1097,75;937;1397;1613,75;1739,5;1139,25;982,75;1297;1356,5;1229,75;1223,5;1482,5;1180,75;1229,5;1358,75;1310,25;953,75;946,5;1154,5;1322;1449,75;1401;984,25;1166,75;1047,75;1262,25;1287;1688,75;1808,5;
1787,5;1073,25;1226,5;1096,25;941;1381;1601,5;1731,75;1139;994,25;1285,5;1358;1228,5;1224,5;1487,5;1182,25;1218,25;1370,25;1314;948,5;952,75;1172,5;1325,5;1455,5;1394,25;987;1167,5;1045;1261,25;1285,25;1679,5;1801,5;
1775,5;1073;1234,25;1087;937;1392;1611,75;1736,25;1135,75;993,75;1285;1361,25;1230,5;1226,75;1484,5;1181,5;1212,25;1364,25;1307;948,5;956,5;1163,75;1324,75;1458,5;1401;985,5;1168,75;1042,75;1265,75;1296;1677,25;1796,5;
1784,75;1066;1241,5;1090,25;930,25;1393,25;1609;1752,5;1135,75;984,25;1293,25;1354;1228,25;1217,25;1477,5;1180,75;1238,25;1379;1312,75;947,5;949,75;1170,25;1326,5;1449;1403,25;993;1164;1054,5;1264,5;1288,5;1690;1797;
1779,25;1069,5;1238,75;1090,25;934,25;1384,5;1600,5;1729,75;1138;994;1275,25;1368,5;1222,5;1220,75;1483,25;1185,5;1218;1376;1300,75;942,75;945;1159,25;1328,75;1455,75;1418,75;1001,25;1167;1052,75;1258,5;1286;1677,5;1776,5;
1780,5;1069,5;1228,75;1079;929,25;1375,75;1597,25;1734,25;1138;993,25;1288,25;1370,5;1222,5;1225,5;1499,5;1172,25;1221,25;1363,75;1300;957,25;947,25;1157;1338;1443,5;1432,75;1006,5;1170;1056,25;1263;1286,75;1676,25;1791;
1774;1074;1225,75;1077,75;928,75;1387,5;1596,75;1732,5;1140,75;1006,5;1279,75;1365,25;1215;1225,75;1485,25;1174,25;1221;1356,5;1298,75;950,5;952;1157;1333,25;1449;1458,5;1023,5;1179,5;1056,5;1261,25;1293,25;1680,75;1788,75;
1779,5;1063,25;1228,25;1092,75;929,5;1377;1588;1730;1144,5;995,25;1292,75;1345,25;1220,5;1220,25;1486;1186;1230,5;1371,25;1293;949;949;1172,75;1346,75;1456,75;1509,25;1049,5;1174,25;1058,25;1262,25;1287,5;1664,75;1784,75;
1768,5;1067,25;1226,5;1082,5;920;1371,25;1609,75;1719,25;1143;1008;1286,25;1355;1213,5;1212,25;1474,5;1181,75;1212,5;1357,75;1298;953,5;942,25;1159,25;1327,5;1443,5;1588;1103,25;1193,75;1052,5;1257;1292,25;1680;1802,5;
1773,75;1069,25;1214;1079,75;937;1388,75;1603,5;1731;1163,5;1012,75;1291,25;1353,75;1210,75;1216,75;1479,75;1181,75;1219,5;1363,5;1297;958,75;946,75;1151;1337,5;1452;1712,25;1158,5;1210;1048,25;1262,75;1307,25;1674,5;1796;
1782,25;1065,5;1221,75;1087;924,5;1368,75;1591,5;1725;1206,25;1049,75;1291,5;1355,75;1223,5;1206,75;1479,5;1180,25;1213,75;1372,25;1305,25;947,25;952,5;1169,25;1327,25;1456;1875,25;1267,5;1221,25;1060,5;1267,5;1289;1664,75;1791;
1784,25;1066,25;1220,75;1084;922;1388,5;1590,25;1721,75;1245,75;1108;1314,75;1379,75;1247;1222;1480,75;1158;1215,5;1367,25;1299,5;949,25;940,75;1163,25;1339,25;1452,5;2065;1383,75;1255,75;1071,25;1256;1293,75;1669;1784,25;
1786;1069;1221,25;1082,75;923,25;1376,25;1603,75;1725,25;1342;1186,5;1335,5;1393,75;1254,75;1226,25;1480;1186,25;1214,5;1365,25;1304,75;944;946,25;1167,75;1348;1447,75;2263,5;1497,5;1343,5;1096,25;1264,5;1295,25;1658,25;1781,5;
1803,25;1068,75;1218,75;1087;928;1390;1599,25;1722,5;1466,5;1301,75;1396;1430;1294;1223,5;1493;1178,5;1216,75;1372,5;1292,25;951,75;949,25;1170;1362,75;1466,75;2445;1601,5;1444,25;1145,5;1267,75;1302,5;1665,25;1783,5;
1841,5;1058,25;1218,75;1072,75;920,5;1381,5;1581,75;1722;1604,25;1415,75;1477;1510,25;1358,25;1229,25;1483;1188,25;1212,75;1362,75;1308,75;953,5;956,75;1165,25;1374;1485,5;2598;1692,5;1573,75;1204,25;1270;1295,25;1663;1779;
1877;1068;1223,25;1079;921,5;1378,25;1593,5;1726,25;1747,5;1547,25;1590,5;1616,75;1452;1242,75;1505,75;1204,5;1215,5;1387,5;1301,75;950,75;941,25;1155,5;1417,75;1532,75;2718,25;1763,75;1727,25;1289,25;1254,75;1294;1662;1781,5;
1976,75;1079,5;1219,5;1079,25;927,25;1365,25;1602,5;1730,75;1880,25;1673;1769,75;1760,75;1591;1271,5;1533,5;1228,5;1212,75;1381,5;1305,75;954,5;946,5;1165;1489,25;1591,5;2804,25;1818,75;1877,25;1390,25;1269,25;1299;1666;1781;
2102,25;1076,25;1226,75;1093,25;931,5;1383;1603;1731,75;1981,75;1739,25;1940;1947,25;1754;1317,5;1596,75;1271,25;1232,75;1377;1308,25;959,25;958,25;1167;1584;1724,25;2871,75;1869;2012,5;1519,5;1274,5;1299,5;1666,25;1785,5;
2271,25;1078,75;1230,75;1085;931,5;1385,25;1604,25;1735,75;2077,75;1830,25;2132,25;2136,25;1922,75;1358,5;1698,75;1342,25;1236,5;1405,5;1328,5;966,75;951,75;1169;1698,5;1868,5;2916,75;1888;2105,5;1625;1264,25;1291;1667,25;1787,75;
2419;1080,25;1248;1098,25;931;1385,5;1608,5;1740;2137,25;1867,5;2281,25;2308,5;2067,25;1462,5;1842,25;1455,5;1247,5;1398;1354;968;952,5;1179,75;1822,75;2012;2969,75;1927,25;2196;1731;1268,25;1299,5;1676,25;1784;
2564,5;1082,25;1250;1103,75;949;1405;1623,25;1759,5;2172,25;1901,75;2400,25;2447;2188;1584,75;2021;1587,5;1289,5;1426;1390,75;975;968,5;1206;1927;2135,25;2995,25;1951,75;2258;1807,25;1269;1292;1673,75;1778,75;
2642,5;1095;1250,25;1110,25;958;1402,75;1623;1760,25;2224;1948,25;2507;2551,75;2270,5;1727;2208;1728,25;1354,75;1459;1430,25;982,25;974;1222,25;1982;2222,25;3009;1942,5;2307,25;1855,75;1267,5;1310,75;1659;1775,5;
2708;1098,25;1260;1118,5;964,75;1407,5;1641,75;1780;2251;1958;2556,5;2611;2331,5;1846,75;2380,75;1861,75;1423,5;1498;1503;994;982,25;1234;2046,5;2285,75;3018,25;1969;2326,5;1903,5;1269,25;1296,75;1664,25;1768,5;
2749;1106,5;1257;1132,5;959,5;1406,75;1643,5;1787,5;2263;1980,25;2595,5;2671,75;2383,5;1958,75;2521;1959;1511,5;1548,5;1595,25;996,75;987;1263;2081,5;2354;3051;1980,25;2364;1918,25;1273,5;1299;1672;1788,75;
2821,75;1095,75;1269,75;1118,25;947;1422,75;1650;1784,25;2269,5;1991,75;2636,5;2691,75;2423,75;2028,75;2598,5;2029,5;1604,75;1622;1674,25;1002,5;992,5;1314,5;2119,75;2376;3056,75;1992,5;2367,75;1946,25;1263,25;1290,75;1665,5;1775,5;
2854;1111,75;1255,5;1119;959;1421,25;1662,5;1770,5;2304,5;1996,5;2672,5;2714;2431;2062,75;2647;2069,5;1688,5;1666;1747;1000,75;975,25;1363,5;2145,5;2426;3066,25;1988,5;2399;1965;1259,5;1297,5;1660,5;1772;
2897,5;1106,25;1265,75;1117,25;963;1417,25;1661,25;1777,5;2307;2015,5;2684;2746,5;2456,5;2095,25;2694,5;2115,75;1744,75;1736,75;1796,25;1003,75;988;1382,5;2181;2462;3087;1985,75;2403;1982,5;1273,75;1290,5;1673,5;1775;
2935,5;1108,5;1259;1121,75;958,25;1423,25;1647;1782;2313,5;2020,25;2702,75;2772,5;2476,75;2121,75;2738,75;2146,25;1766,5;1793,25;1852;998,5;979,5;1431,75;2208,25;2525,5;3094,5;2004,25;2428,75;2002;1266;1284,5;1655,5;1776,25;
2976,5;1101,5;1275,5;1116,25;952,25;1413,75;1654,75;1780,75;2319,25;2019;2721,75;2788,75;2476,75;2174;2783,5;2164,75;1806,25;1837,5;1878,25;1006,75;988;1473,25;2235;2561,25;3103;1998;2433,5;2001,5;1262;1300;1670,25;1758,75;
3028,5;1096,5;1265;1113,25;959;1414,25;1654;1775;2326;2036,75;2720,5;2789;2492,5;2173,5;2800,25;2176,25;1830,75;1864,75;1915,5;1005,5;981,5;1490,75;2254,75;2588,75;3094;2013,75;2437,75;1996;1254,5;1299,25;1662,25;1761,25;
